2024 JUMPSTART Training Sessions,,,,,,,,,,,
,,,,,,,,,,,
St Cloud State University,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8:30-9AM,Team Check-in,,Upper Level,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
9:00-9:15AM,JUMPSTART Kick Off,,Ballroom,,,,,,,,
,,,,,,,,,,,
Room,,Voyageurs South,Voyageurs North,Glacier South,Glacier North,Cascade,Theater,Gallery,Alumni Room,Mississippi,Valhalla
,Occupancy,,,,,,,,,,
,,,,,,,,,,,
9:25AM - 10:15AM,Round 1,Pneumatics,FRC 2025 Updates,"The first, FIRST history lecture",Safety Beyond Safety Glasses ,Be the team at the top of a Pick List,Manipulators Part 1,Volunteer Experience Panel,Leadership/Team Structure Roundtable,Getting the Data,Importance of Networking
,,Overlooking your pneumatics could lead to an ineffective robot.  This session is dedication to showcase the potential for great pneumatic systems and manipultors.,"This session will review and analyze the recent FIRST blog posts FRC task force updates on regional advancement, field damage, alliance selection, and 2025 game piece preorders. See data on how regional advancement changes would have affected previous seasons, touch and feel a variety of newly legal bumper material, and speculate on possible 2025 game pieces based on what was revealed in the game piece pre-order blog post.",Why do we study history? To learn from it of course! Mixing history and strategy this class will teach you all of FIRST history and how you can apply it to potential future games.,"It would be going over some of the safety protocols on 4607, SOP's, SDS's, Safety training/rules, ways we promote being safe, etc. ","This presentation focuses on strategies for becoming a sought-after alliance partner in robotics competitions. It shares lessons learned, emphasizing preparation, maintaining robot reliability, and fostering collaboration. Key points include building a consistent and functional robot, adapting to tournament dynamics, and implementing processes to identify and resolve mechanical issues. Teams are encouraged to prioritize strategic design, execute their roles effectively, and maintain professionalism under pressure. Additional advice highlights keeping a clean and organized pit, being transparent about strengths and weaknesses, and ensuring team members are prepared to discuss the robot during alliance selection. The overarching goal is to build credibility and reliability, making the team a top choice for partnerships.","Part 1: Game Pieces, Intake and Scoring","This panel will feature FIRST key volunteers - alumni especially -  that teams in Minnesota, North Dakota, and South Dakota would recognize from participation at the now-6 regional events in the FRC Northland region. This is a panel discussion, with Q&A facilitated by a FIRST Senior Mentor & the Global Volunteer Coordinator for the FIRST Robotics Competition. Potentially could do this twice, but marked (1) to be safe.",Group discussion about team structures and leadership systems. Compare and contrast ideas and discuss pros and cons.,"Learn what data to collect from pre, pit, and match scouting. Then how to sort and analyze the data to be useful for match play and pick lists. We will also discuss several of the scouting programs you could use.",This presentation explores ways to network using LinkedIn and other ways to connect with future employers.  Learn how this can benefit your future by connecting with industry for references or getting internships or future job opportunities.  Insights from student that has used LinkedIn to connect with industry during a trade show and from the mentor that suggested it.  What is the benefits and ways you can get connect?
,,8516,7028,3313,4607,4607,Mark Durand,Laurie Shimizu,Various,2855,8516
,,,,,,,,,,,
10:20AM - 11:10AM,Round 2,Electrical ,Taking Motor Control to the Next Level,How to succed in your first year on a FRC team,Fueling Your Team: Effective Fundraising Strategies in FRC,Pack Challenge: How to use this to up your Leadership team,Manipulators Part 2,What (New) to Expect at a Regional,Awards Roundtable,Who is the LGBTQ+ Community ,Coding for Cookies 
,,"Electrical 101,  Component review and best wiring practices.  From mounting radio to stripping wires correctly.  Discussion of all the components and how the supposed connect together.","Discover how to optimize your robot's movement and accuracy using PID, FeedForward, and motion profiling.",Breakdown of 2024 everybot and how building it develops skills and success to excell in frc. ,"This presentation will guide teams through proven strategies to secure funding, build long-term sponsor relationships, and engage their community. From crafting compelling sponsorship proposals to hosting creative fundraising events, learn how to effectively communicate your team’s mission and value. 
",This session will discuss what the PACK challenge is and what the benefits of it are.,"Part 2: Lifts, arms and Elevators","This session will help you get the most out of your competition experience. Get an overview of a FRC regional, including a discussion of the new alliance selection process, regional advancement points model, and some changes to awards.",Discussion of awards criteria and process,This presentation will cover the meanings of common LGBTQ+ terms. Plus steps your team can take to be supportive of the company,Coding for Cookies is a great outreach opportunity that promotes STEM and robotics education for young women. Teams will learn how they can invite Girl Scout troops to their robotics facilities to teach them and help them earn their robotics badge. 
,,8516/4607,7028,4607,6045,4607/8516,Mark Durand,Yoji Shmizu,Various,2855,4607
,,,,,,,,,,,
